company,statement,category,sentiment,confidence
BAJAJFINSV_2022,The Company declared a dividend of ₹ 4 per equity share for FY2022.,positive,neutral,0.909656644
BAJAJFINSV_2022,Bajaj Finserv continues to be one of the most efficient users of capital among private sector insurance companies.,positive,positive,0.82027775
BAJAJFINSV_2022,"In FY2022, BHFL earned total income of ₹ 3,767 crore and profit after tax of ₹ 710 crore.",positive,neutral,0.916086257
BAJAJFINSV_2022,The Board of Directors has recommended a dividend of ₹ 4 per equity share for FY2022 for the approval of members.,positive,neutral,0.869805872
BAJAJFINSV_2022,"BFL continues to be the dominant lender for consumer electronics, financing 12.7 million purchases in FY2022.",positive,positive,0.722452998
BAJAJFINSV_2022,"BFL's assets under management increased by 29% to ₹ 197,452 crore.",positive,positive,0.95352459
BAJAJFINSV_2022,BFS Group strives to influence its value chain partners to participate in responsible and sustainable business conduct.,positive,positive,0.691019654
BAJAJFINSV_2022,"The Group has trained about 17,800 Debt Recovery Agents.",positive,neutral,0.787918568
BAJAJFINSV_2022,BFS and its subsidiaries have zero tolerance towards unethical business practices.,positive,neutral,0.895825326
BAJAJFINSV_2022,The Group has invested `1.14 crore for rooftop solar plant installations at certain offices during the year.,positive,positive,0.501484811
BAJAJFINSV_2022,Corporate offices of the Group companies have ramps for easy movement and wheelchair accessible restrooms for specially abled people.,positive,neutral,0.917016387
BAJAJFINSV_2022,BFS Group trains its employees on safety protocols by conducting periodic trainings on fire safety and evacuation drills.,positive,neutral,0.924928427
BAJAJFINSV_2022,All Group companies extend various support and compensatory packages in the event of death of permanent employees.,positive,neutral,0.937620223
BAJAJFINSV_2022,"The Group has received green, disposable and recycling certificates from the respective e-waste handlers.",positive,positive,0.843399644
BAJAJFINSV_2022,"The Company faced challenges due to the Covid-19 pandemic, which impacted its operations.",negative,negative,0.952789247
BAJAJFINSV_2022,The second wave of the pandemic had an adverse impact on loan losses in the SME segment.,negative,negative,0.945400774
BAJAJFINSV_2022,The general insurance industry faced a difficult environment amid the resurgence of the Covid pandemic.,negative,negative,0.952006042
BAJAJFINSV_2022,No corrective actions pertaining to above mentioned parameters was necessitated by the Group during the year under review.,negative,neutral,0.917422116
BAJAJFINSV_2022,"Given the nature of the business, BFS Group companies do not currently maintain records for hazardous and other waste generation.",negative,neutral,0.939186811
BAJAJFINSV_2022,No corrective actions pertaining to Question 9 was necessitated by the Group during the year under review.,negative,neutral,0.845189512
BAJAJFINSV_2022,No corrective actions pertaining to Question 4 was necessitated by the Group during the year under review.,negative,neutral,0.853417516
BAJAJFINSV_2022,The Company plans to open another 50 financial inclusion branches in FY2023.,forward_looking,neutral,0.511175811
BAJAJFINSV_2022,BFL aims to maintain a liquidity coverage ratio of 70% from 1 December 2022.,forward_looking,positive,0.78615123
BAJAJFINSV_2022,The Group believes that it is still learning the evolving aspects of ESG and lays significant importance to such interactions.,forward_looking,positive,0.704318881
BAJAJFINSV_2022,The Group further endeavours to expand the coverage of assessments by external agencies to more organisations in the coming years.,forward_looking,positive,0.878964603
BAJAJFINSV_2022,The Company is exposed to market risks including interest rate fluctuations and foreign exchange risks.,risks,neutral,0.870231986
BAJAJFINSV_2022,"Credit risk arises from the potential default of borrowers, which is monitored through various metrics.",risks,neutral,0.935790837
BAJAJFINSV_2022,"Operational risks include system failures and fraud, which are managed through internal controls and audits.",risks,negative,0.585898042
BAJAJFINSV_2022,The applicable processes have been briefly described in ‘a’ above.,risks,neutral,0.946200669
